iter	Passed	Remaining
611	6457	4094
612	6467	4083
613	6477	4072
614	6487	4061
615	6497	4050
616	6507	4039
617	6517	4028
618	6527	4017
619	6537	4007
620	6547	3995
621	6557	3985
622	6567	3974
623	6578	3963
624	6587	3952
625	6598	3942
626	6609	3931
627	6619	3921
628	6630	3910
629	6640	3900
630	6650	3889
631	6660	3878
632	6670	3867
633	6681	3857
634	6691	3846
635	6701	3835
636	6711	3824
637	6721	3813
638	6732	3803
639	6743	3793
640	6753	3782
641	6762	3770
642	6772	3760
643	6782	3749
644	6793	3738
645	6803	3728
646	6814	3717
647	6823	3706
648	6833	3695
649	6843	3684
650	6852	3673
651	6862	3662
652	6872	3651
653	6882	3641
654	6893	3630
655	6903	3619
656	6913	3609
657	6922	3598
658	6932	3587
659	6943	3577
660	6953	3566
661	6964	3555
662	6974	3545
663	6984	3534
664	6994	3523
665	7004	3512
666	7014	3502
667	7024	3491
668	7035	3480
669	7046	3470
670	7056	3459
671	7066	3448
672	7077	3438
673	7087	3428
674	7098	3417
675	7108	3407
676	7118	3396
677	7129	3385
678	7139	3375
679	7149	3364
680	7159	3353
681	7171	3343
682	7180	3332
683	7191	3322
684	7202	3311
685	7212	3301
686	7222	3290
687	7232	3279
688	7242	3269
689	7252	3258
690	7263	3247
691	7273	3237
692	7283	3226
693	7293	3215
694	7303	3205
695	7313	3194
696	7323	3183
697	7333	3172
698	7343	3162
699	7353	3151
700	7363	3140
701	7374	3130
702	7384	3119
703	7394	3109
704	7405	3098
705	7415	3088
706	7425	3077
707	7435	3066
708	7446	3056
709	7456	3045
710	7466	3035
711	7476	3024
712	7487	3013
713	7498	3003
714	7508	2992
715	7517	2981
716	7527	2971
717	7538	2960
718	7548	2950
719	7558	2939
720	7567	2928
721	7578	2918
722	7588	2907
723	7598	2896
724	7608	2885
725	7618	2875
726	7629	2864
727	7639	2854
728	7648	2843
729	7659	2832
730	7668	2821
731	7678	2811
732	7688	2800
733	7699	2790
734	7709	2779
735	7720	2769
736	7730	2758
737	7741	2748
738	7750	2737
739	7760	2726
740	7770	2716
741	7780	2705
742	7791	2694
743	7802	2684
744	7811	2673
745	7822	2663
746	7831	2652
747	7841	2641
748	7852	2631
749	7862	2620
750	7873	2610
751	7884	2600
752	7896	2590
753	7907	2579
754	7918	2569
755	7930	2559
756	7941	2549
757	7952	2539
758	7964	2529
759	7975	2518
760	7986	2508
761	7997	2497
762	8009	2487
763	8020	2477
764	8031	2467
765	8041	2456
766	8053	2446
767	8065	2436
768	8077	2426
769	8088	2416
770	8099	2405
771	8110	2395
772	8120	2384
773	8130	2374
774	8140	2363
775	8150	2352
776	8160	2341
777	8170	2331
778	8180	2320
779	8190	2310
780	8200	2299
781	8209	2288
782	8219	2277
783	8229	2267
784	8239	2256
785	8249	2246
786	8259	2235
787	8270	2225
788	8280	2214
789	8291	2203
790	8302	2193
791	8312	2183
792	8323	2172
793	8332	2161
794	8342	2151
795	8351	2140
796	8363	2130
797	8372	2119
798	8382	2108
799	8393	2098
800	8404	2088
801	8416	2077
802	8426	2067
803	8436	2056
804	8445	2045
805	8455	2035
806	8465	2024
807	8475	2013
808	8485	2003
809	8495	1992
810	8505	1982
811	8516	1971
812	8526	1961
813	8536	1950
814	8546	1940
815	8557	1929
816	8567	1919
817	8577	1908
818	8588	1897
819	8598	1887
820	8609	1877
821	8619	1866
822	8630	1856
823	8641	1845
824	8651	1835
825	8663	1824
826	8673	1814
827	8683	1803
828	8694	1793
829	8703	1782
830	8714	1772
831	8724	1761
832	8734	1751
833	8744	1740
834	8753	1729
835	8764	1719
836	8775	1708
837	8784	1698
838	8794	1687
839	8805	1677
840	8817	1667
841	8827	1656
842	8838	1645
843	8848	1635
844	8858	1624
845	8869	1614
846	8879	1604
847	8890	1593
848	8900	1582
849	8910	1572
850	8921	1562
851	8932	1551
852	8942	1541
853	8953	1530
854	8963	1520
855	8973	1509
856	8983	1498
857	8993	1488
858	9003	1477
859	9014	1467
860	9024	1456
861	9035	1446
862	9045	1435
863	9055	1425
864	9065	1414
865	9075	1404
866	9085	1393
867	9096	1383
868	9106	1372
869	9116	1362
870	9125	1351
871	9135	1341
872	9151	1331
873	9160	1320
874	9171	1310
875	9180	1299
876	9190	1288
877	9200	1278
878	9210	1267
879	9218	1257
880	9228	1246
881	9237	1235
882	9248	1225
883	9258	1214
884	9268	1204
885	9278	1193
886	9287	1183
887	9298	1172
888	9308	1162
889	9319	1151
890	9330	1141
891	9341	1130
892	9351	1120
893	9361	1110
894	9373	1099
895	9384	1089
896	9395	1078
897	9407	1068
898	9421	1058
899	9431	1047
900	9442	1037
901	9455	1027
902	9466	1016
903	9477	1006
904	9490	996
905	9501	985
906	9513	975
907	9524	965
908	9535	954
909	9546	944
910	9556	933
911	9568	923
912	9578	912
913	9589	902
914	9599	891
915	9609	881
916	9620	870
917	9631	860
918	9641	849
919	9652	839
920	9662	828
921	9672	818
922	9682	807
923	9693	797
924	9703	786
925	9713	776
926	9724	765
927	9734	755
928	9745	744
929	9756	734
930	9767	723
931	9778	713
932	9788	702
933	9798	692
934	9808	681
935	9819	671
936	9830	660
937	9840	650
938	9850	639
939	9861	629
940	9872	619
941	9882	608
942	9894	598
943	9904	587
944	9914	577
945	9925	566
946	9936	556
947	9948	545
948	9959	535
949	9969	524
950	9979	514
951	9990	503
952	9999	493
953	10010	482
954	10019	472
955	10029	461
956	10038	451
957	10049	440
958	10060	430
959	10071	419
960	10082	409
961	10092	398
962	10103	388
963	10114	377
964	10127	367
965	10139	356
966	10150	346
967	10162	335
968	10173	325
969	10187	315
970	10198	304
971	10209	294
972	10223	283
973	10233	273
974	10244	262
975	10254	252
976	10266	241
977	10277	231
978	10288	220
979	10299	210
980	10309	199
981	10322	189
982	10332	178
983	10344	168
984	10355	157
985	10367	147
986	10378	136
987	10389	126
988	10400	115
989	10416	105
990	10427	94
991	10439	84
992	10451	73
993	10462	63
994	10474	52
995	10485	42
996	10496	31
997	10508	21
998	10520	10
999	10531	0
